fullname,price,new_price,year,sellertype,kmdriven,ownertype,fueltype,transmissiontype,mileage,enginecc,maxpowerbhp,seats,pricelakh,price_old
Ford Fiesta Classic 1.4 Duratorq CLXI,450000,null,2015,Dealer,28000,First Owner,Diesel,Manual,17.8,1399,67,5,Medium Range,4.5
Maruti Alto K10 LXI,214000,null,2011,Dealer,52349,First Owner,Petrol,Manual,20.92,998,67.1,5,Lower Range,2.14
Hyundai i20 Magna Optional 1.2,495000,null,2015,Dealer,34000,First Owner,Petrol,Manual,18.5,1197,82.9,5,Medium Range,4.95
Volkswagen Vento 1.5 TDI Highline Plus,850000,null,2017,Dealer,64253,First Owner,Diesel,Manual,20.64,1498,108.49,5,Higher Range,8.5
Toyota Innova 2.5 G (Diesel) 8 Seater,600000,null,2013,Dealer,80000,First Owner,Diesel,Manual,12.99,2494,100,8,Medium Range,6
Ford Ecosport 2015-2021 1.5 TDCi Trend Plus BSIV,650000,10.24-13.71,2016,Individual,70000,First Owner,Diesel,Manual,22.77,1498,98.59,5,Medium Range,6.5
Maruti Vitara Brezza ZDi,874000,null,2018,Dealer,55000,First Owner,Diesel,Manual,24.3,1248,88.5,5,Higher Range,8.74
Maruti Swift Dzire VDi,676000,null,2015,Dealer,68000,First Owner,Diesel,Manual,19.3,1248,73.9,5,Medium Range,6.76
Renault KWID RXT,345000,null,2016,Dealer,21445,First Owner,Petrol,Manual,25.17,799,53.3,5,Lower Range,3.45
Hyundai i20 Sportz 1.2,470000,7.56-12.55,2014,Individual,30000,First Owner,Petrol,Manual,18.6,1197,81.83,5,Medium Range,4.7
Hyundai Grand i10 CRDi Sportz,491000,null,2015,Dealer,38597,First Owner,Diesel,Manual,24,1120,70,5,Medium Range,4.91
Maruti Alto Green LXi (CNG),235000,null,2012,Dealer,53800,First Owner,CNG,Manual,26.83,796,38.4,5,Lower Range,2.35
Maruti Ignis 1.2 Zeta BSIV,600000,5.68-8.44,2019,Dealer,8500,First Owner,Petrol,Manual,20.89,1197,81.8,5,Medium Range,6
Hyundai EON Sportz,370000,null,2017,Individual,10000,First Owner,Petrol,Manual,21.1,814,55.2,5,Lower Range,3.7
Hyundai i20 1.2 Asta Dual Tone,635000,7.90-13.23,2017,Individual,25000,First Owner,Petrol,Manual,18.6,1197,81.83,5,Medium Range,6.35
Maruti Swift VDI BSIV,500000,null,2015,Individual,90000,First Owner,Diesel,Manual,25.2,1248,74,5,Medium Range,5
Chevrolet Spark 1.0 LS BS3,175000,null,2013,Dealer,64120,First Owner,Petrol,Manual,18,995,62.1,5,Lower Range,1.75
Hyundai i20 Magna,275000,null,2009,Dealer,88000,First Owner,Petrol,Manual,18.5,1197,80,5,Lower Range,2.75
Hyundai Elantra CRDi SX,875000,22.44-25.31,2015,Dealer,59000,First Owner,Diesel,Manual,22.7,1582,126.2,5,Higher Range,8.75
Maruti Swift Dzire Tour S,450000,7.16-7.20,2017,Individual,110000,First Owner,CNG,Manual,19,1197,85.8,5,Medium Range,4.5
Honda Brio S MT,330000,null,2012,Dealer,35000,First Owner,Petrol,Manual,19.4,1198,86.8,5,Lower Range,3.3
Skoda Superb 1.8 TSI MT,479000,36.39-39.36,2011,Dealer,54000,First Owner,Petrol,Manual,13.14,1798,160,5,Medium Range,4.79
Nissan Sunny Diesel XL,375000,null,2013,Dealer,70000,First Owner,Diesel,Manual,21.64,1461,84.8,5,Lower Range,3.75
Datsun redi-GO AMT 1.0 T Option,375000,4.00-6.32,2018,Dealer,5986,First Owner,Petrol,Automatic,22,999,67.05,5,Lower Range,3.75
Skoda Rapid 1.6 TDI Ambition,350000,null,2012,Dealer,85000,First Owner,Diesel,Manual,20.5,1598,103.5,5,Lower Range,3.5
Maruti Swift VDI BSIV,485000,null,2014,Dealer,62500,First Owner,Diesel,Manual,25.2,1248,74,5,Medium Range,4.85
Ford Aspire Titanium Diesel BSIV,800000,null,2018,Individual,50000,First Owner,Diesel,Manual,26.1,1498,99.23,5,Medium Range,8
Hyundai i10 Era,215000,null,2009,Dealer,84255,First Owner,Petrol,Manual,19.81,1086,68.05,5,Lower Range,2.15
Hyundai Creta 1.6 CRDi SX,1000000,12.33-20.82,2016,Dealer,20000,First Owner,Diesel,Manual,19.67,1582,126.2,5,Higher Range,10
Hyundai Verna 1.6 SX,700000,12.84-18.09,2014,Individual,100000,First Owner,Diesel,Manual,22.32,1582,126.32,5,Medium Range,7
Hyundai Accent Executive,150000,null,2010,Dealer,74000,First Owner,Petrol,Manual,16.36,1495,93.7,5,Lower Range,1.5
Mahindra Bolero ZLX,690000,9.19-10.74,2015,Dealer,59627,First Owner,Diesel,Manual,13.6,2523,null,7,Medium Range,6.9
Honda BRV i-VTEC V CVT,825000,null,2016,Dealer,34000,First Owner,Petrol,Automatic,15.4,1497,117.3,7,Medium Range,8.25
Maruti Baleno Alpha 1.3,675000,null,2015,Dealer,60000,First Owner,Diesel,Manual,27.39,1248,74,5,Medium Range,6.75
Isuzu D-Max V-Cross High,1200000,18.56-23.79,2018,Individual,120000,First Owner,Diesel,Manual,12.4,2499,134,5,Higher Range,12
Jaguar XF 2.2 Litre Luxury,1895000,null,2014,Dealer,28001,First Owner,Diesel,Automatic,16.36,2179,187.7,5,Higher Range,18.95
Maruti Alto LXi,230000,null,2012,Dealer,43000,First Owner,Petrol,Manual,19.7,796,46.3,5,Lower Range,2.3
Mercedes-Benz CLA 200 CDI Sport,2450000,null,2017,Dealer,21000,First Owner,Diesel,Automatic,17.9,2143,136,5,Higher Range,24.5
Fiat Avventura MULTIJET Emotion,535000,null,2016,Dealer,47000,First Owner,Diesel,Manual,20.5,1248,91.72,5,Medium Range,5.35
Hyundai i20 1.2 Spotz,600000,7.91-13.24,2015,Dealer,18000,First Owner,Petrol,Manual,18.6,1197,81.83,5,Medium Range,6
Maruti Ertiga VXI Petrol,815000,8.93-12.30,2018,Individual,62000,First Owner,Petrol,Manual,19.34,1462,103,7,Medium Range,8.15
Maruti Ciaz 1.4 Alpha,680000,null,2017,Individual,50000,First Owner,Petrol,Manual,20.73,1373,91.1,5,Medium Range,6.8
Toyota Corolla Altis G MT,450000,null,2012,Dealer,67000,First Owner,Petrol,Manual,14.28,1798,138.03,5,Medium Range,4.5
Maruti Ertiga VXI CNG,855000,10.22,2018,Trustmark Dealer,26938,First Owner,CNG,Manual,17.5,1373,80.46,7,Higher Range,8.55
Mahindra XUV500 2011-2015 W8 FWD,811000,null,2015,Dealer,72500,First Owner,Diesel,Manual,15.1,2179,140,7,Medium Range,8.11
Skoda Superb LK 1.8 TSI AT,1515000,36.70-39.68,2016,Dealer,65000,First Owner,Petrol,Automatic,14.67,1798,177.46,5,Higher Range,15.15
Hyundai Verna 1.6 SX CRDi (O),450000,12.85-18.11,2012,Individual,55000,First Owner,Diesel,Manual,22.32,1582,126.32,5,Medium Range,4.5
Hyundai i20 Asta 1.2,325000,8.38-13.24,2011,Individual,115000,First Owner,Petrol,Manual,18.5,1197,82.85,5,Lower Range,3.25
Mahindra KUV 100 mFALCON G80 K8,400000,6.79-8.64,2016,Individual,53000,First Owner,Petrol,Manual,18.15,1198,82,6,Lower Range,4
Mercedes-Benz GLE Class 250d,3899000,null,2016,Dealer,30000,First Owner,Diesel,Automatic,17.9,2143,201.15,5,Higher Range,38.99
Mitsubishi Pajero Sport 4X2 AT,1545000,null,2015,Dealer,73320,First Owner,Diesel,Automatic,13.5,2477,175.56,7,Higher Range,15.45
Honda BR-V Style Edition Diesel V,815000,null,2016,Individual,40000,First Owner,Diesel,Manual,21.9,1498,98.6,7,Medium Range,8.15
BMW 3 Series GT 320d Luxury Line,2300000,51.47-59.46,2015,Dealer,44000,First Owner,Diesel,Automatic,19.59,1995,184,5,Higher Range,23
Hyundai i20 Asta 1.2,589000,8.38-13.24,2015,Dealer,31695,First Owner,Petrol,Manual,18.6,1197,81.83,5,Medium Range,5.89
Hyundai i20 Active 1.4 SX,715000,null,2016,Dealer,37962,First Owner,Diesel,Manual,21.19,1396,88.73,5,Medium Range,7.15
Maruti Ertiga ZXI,590000,null,2013,Dealer,58277,First Owner,Petrol,Manual,16.02,1373,93.7,7,Medium Range,5.9
Hyundai Santro Xing GL,200000,null,2011,Individual,60000,First Owner,Petrol,Manual,null,1086,62,5,Lower Range,2
Mercedes-Benz E-Class 280 CDI Elegance,851000,76.73-95.61,2009,Dealer,71000,First Owner,Diesel,Automatic,14.21,2143,203,5,Higher Range,8.51
Tata Zest Quadrajet 1.3 75PS XE,400000,null,2017,Individual,60000,First Owner,Diesel,Manual,22.95,1248,74,5,Lower Range,4
Maruti Swift Dzire Vdi BSIV,753000,null,2018,Dealer,53000,First Owner,Diesel,Manual,19.3,1248,73.9,5,Medium Range,7.53
Maruti Alto LXi BSIII,135000,null,2008,Dealer,80000,First Owner,Petrol,Manual,19.7,796,46.3,5,Lower Range,1.35
Hyundai i20 1.2 Sportz,319000,8.38-13.24,2011,Dealer,25590,First Owner,Petrol,Manual,17,1197,80,5,Lower Range,3.19
Maruti Swift VXI BSIV,515000,null,2015,Dealer,41000,First Owner,Petrol,Manual,22,1197,81.8,5,Medium Range,5.15
Mahindra Xylo E8 ABS Airbag BSIV,400000,null,2012,Dealer,76000,First Owner,Diesel,Manual,14,2498,112,7,Lower Range,4
Tata Nano Cx,50000,null,2010,Individual,20000,First Owner,Petrol,Manual,26,624,35,4,Lower Range,0.5
Maruti Alto LXi,150000,null,2009,Dealer,46000,First Owner,Petrol,Manual,19.7,796,46.3,5,Lower Range,1.5
Audi A4 New  2.0 TDI Multitronic,940000,null,2012,Individual,110000,First Owner,Diesel,Automatic,15.2,1968,140.8,5,Higher Range,9.4
Mercedes-Benz CLA 200 CGI Sport,1975000,null,2015,Dealer,28000,First Owner,Petrol,Automatic,15.04,1991,183,5,Higher Range,19.75
Maruti Wagon R VXI,285000,5.40-7.20,2012,Dealer,42710,First Owner,Petrol,Manual,18.9,998,67.1,5,Lower Range,2.85
Audi A6 2.0 TDI,1700000,null,2014,Dealer,52121,First Owner,Diesel,Automatic,17.68,1968,174.33,5,Higher Range,17
Honda Jazz V,740000,8.90-11.45,2018,Individual,30000,First Owner,Petrol,Manual,18.2,1199,88.7,5,Medium Range,7.4
Mahindra XUV500 W4,775000,16.61-23.39,2014,Dealer,43943,First Owner,Diesel,Manual,15.1,2179,140,7,Medium Range,7.75
Renault Duster 85PS Diesel RxL Option,590000,null,2013,Dealer,75704,First Owner,Diesel,Manual,19.87,1461,83.8,5,Medium Range,5.9
Force One SX ABS 7 Seating,650000,null,2015,Individual,35000,First Owner,Diesel,Manual,17,2200,139.01,7,Medium Range,6.5
Maruti Swift DDiS VDI,590000,null,2016,Dealer,60000,First Owner,Diesel,Manual,28.4,1248,74,5,Medium Range,5.9
Mercedes-Benz B-Class B200 CDI,1400000,null,2015,Dealer,83000,First Owner,Diesel,Automatic,15,2143,107.3,5,Higher Range,14
Maruti Ertiga VDI,750000,null,2015,Dealer,98000,First Owner,Diesel,Manual,25.47,1248,88.5,7,Medium Range,7.5
Maruti Wagon R VXI,380000,5.40-7.19,2014,Individual,43000,First Owner,Petrol,Manual,20.51,998,67.04,5,Lower Range,3.8
Hyundai Verna 1.6 CRDi SX,485000,null,2013,Dealer,60000,First Owner,Diesel,Manual,23.9,1582,126.2,5,Medium Range,4.85
Ford Fiesta Titanium 1.5 TDCi,425000,null,2013,Individual,158000,First Owner,Diesel,Manual,23.5,1498,90,5,Medium Range,4.25
Hyundai Grand i10 1.2 Kappa Asta,500000,null,2017,Dealer,10000,First Owner,Petrol,Manual,18.9,1197,81.86,5,Medium Range,5
Hyundai Grand i10 Magna,450000,7.05-7.41,2016,Dealer,29901,First Owner,Petrol,Manual,18.9,1197,82,5,Medium Range,4.5
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,3500000,null,2013,Dealer,43715,First Owner,Diesel,Automatic,11.3,2987,254.8,7,Higher Range,35
Mahindra XUV500 AT W10 FWD,1300000,16.59-23.37,2016,Dealer,49000,First Owner,Diesel,Automatic,16,2179,140,7,Higher Range,13
Chevrolet Spark 1.0 LS,100000,null,2010,Individual,60000,First Owner,Petrol,Manual,18,995,62,5,Lower Range,1
Maruti Vitara Brezza VDi Option,850000,null,2017,Dealer,54452,First Owner,Diesel,Manual,24.3,1248,88.5,5,Higher Range,8.5
Maruti Alto 800 LXI,210000,3.50-4.69,2015,Individual,70000,First Owner,Petrol,Manual,22.74,796,47.3,5,Lower Range,2.1
Maruti Zen Estilo VXI BSIII,175000,null,2010,Dealer,65000,First Owner,Petrol,Manual,18.2,998,67.1,5,Lower Range,1.75
Skoda Rapid 1.6 MPI AT Elegance,450000,null,2014,Dealer,69000,First Owner,Petrol,Automatic,14.3,1598,103.5,5,Medium Range,4.5
Land Rover Discovery Sport TD4 HSE 7S,2850000,71.93-74.56,2016,Dealer,145000,First Owner,Diesel,Automatic,12.81,1999,148.31,7,Higher Range,28.5
Mahindra Xylo D4 BSIII,320000,null,2013,Individual,140000,First Owner,Diesel,Manual,14,2498,112,8,Lower Range,3.2
Maruti Swift Dzire AMT ZDI,775000,null,2018,Dealer,29000,First Owner,Diesel,Automatic,28.4,1248,74.02,5,Medium Range,7.75
Mahindra Thar CRDe,850000,14.37-16.29,2018,Individual,40000,First Owner,Diesel,Manual,16.55,2498,105,6,Higher Range,8.5
Skoda Laura L and K MT,299000,null,2009,Dealer,95600,First Owner,Diesel,Manual,17.5,1896,106,5,Lower Range,2.99
Tata Hexa XMA,1365000,14.1,2018,Dealer,44489,First Owner,Diesel,Automatic,17.6,2179,153.86,7,Higher Range,13.65
Chevrolet Tavera Neo 3 10 Seats BSIII,400000,null,2014,Individual,120000,First Owner,Diesel,Manual,13.58,2499,72.4,10,Lower Range,4
Jeep Compass 2.0 Limited Option,1650000,21.30-32.10,2018,Individual,40000,First Owner,Diesel,Manual,17.1,1956,170,5,Higher Range,16.5
Toyota Innova 2.5 VX (Diesel) 8 Seater,1150000,null,2015,Dealer,124000,First Owner,Diesel,Manual,12.99,2494,100,8,Higher Range,11.5
Volkswagen Vento 1.2 TSI Highline AT,690000,10.61-16.31,2016,Dealer,43000,First Owner,Petrol,Automatic,18.19,1197,103.2,5,Medium Range,6.9
Mercedes-Benz C-Class C 200 CGI Avantgarde,899000,48.86-1.64 ,2010,Dealer,78000,First Owner,Petrol,Automatic,11.74,1796,186,5,Higher Range,8.99
Tata Zest Quadrajet 1.3 75PS XM,500000,null,2018,Individual,36000,First Owner,Diesel,Manual,22.95,1248,74,5,Medium Range,5
Maruti Ignis 1.3 Zeta,640000,null,2018,Dealer,18000,First Owner,Diesel,Manual,26.8,1248,74,5,Medium Range,6.4
BMW 6 Series GT 630i Luxury Line,5000000,77.78,2019,Dealer,17226,First Owner,Petrol,Automatic,14.28,1998,254.7,4,Higher Range,50
Nissan Terrano XL,450000,null,2015,Dealer,65000,First Owner,Petrol,Manual,13.24,1598,102.5,5,Medium Range,4.5
Audi A4 2.0 TFSI,845000,null,2010,Dealer,67000,First Owner,Petrol,Automatic,10.8,1984,132,5,Higher Range,8.45
Maruti Wagon R LXI Minor,175000,5.40-7.20,2008,Dealer,80000,First Owner,Petrol,Manual,18.9,1061,67,5,Lower Range,1.75
Hyundai i20 Asta 1.2,535000,8.38-13.24,2015,Individual,52000,First Owner,Petrol,Manual,18.6,1197,81.83,5,Medium Range,5.35
Maruti Alto 800 LXI,255000,3.50-4.69,2015,Individual,34000,First Owner,Petrol,Manual,22.74,796,47.3,5,Lower Range,2.55
Honda Amaze VX i-DTEC,435000,9.08-11.77,2013,Dealer,164000,First Owner,Diesel,Manual,25.8,1498,98.6,5,Medium Range,4.35
Mercedes-Benz E-Class E250 CDI Avantgrade,2600000,76.73-95.61,2015,Dealer,26952,First Owner,Diesel,Automatic,13,2143,201.1,5,Higher Range,26
Mahindra KUV 100 mFALCON D75 K6,449000,null,2016,Dealer,41256,First Owner,Diesel,Manual,25.32,1198,77,6,Medium Range,4.49
Maruti Alto LXi BSIII,155000,null,2009,Dealer,25000,First Owner,Petrol,Manual,19.7,796,46.3,5,Lower Range,1.55
Renault KWID 1.0 RXT Optional,360000,4.12-6.65,2017,Dealer,33000,First Owner,Petrol,Manual,23.01,999,67,5,Lower Range,3.6
Tata Zest Quadrajet 1.3 75PS XMS,500000,null,2016,Individual,40000,First Owner,Diesel,Manual,22.95,1248,74,5,Medium Range,5
Maruti Swift AMT VXI,630000,6.40-9.30,2018,Individual,25000,First Owner,Petrol,Automatic,22,1197,81.8,5,Medium Range,6.3
Maruti Ciaz VDi,575000,null,2014,Dealer,64000,First Owner,Diesel,Manual,26.21,1248,88.5,5,Medium Range,5.75
Hyundai i20 1.2 Magna,320000,8.38-13.24,2011,Dealer,80000,First Owner,Petrol,Manual,18.5,1197,80,5,Lower Range,3.2
Maruti Wagon R LXI Minor,165000,null,2009,Dealer,59000,First Owner,Petrol,Manual,18.9,1061,67,5,Lower Range,1.65
Skoda Laura L n K 1.9 PD AT,385000,null,2007,Dealer,134001,First Owner,Diesel,Automatic,15.6,1896,106,5,Lower Range,3.85
Maruti Wagon R VXI BSIII,190000,null,2009,Dealer,23710,First Owner,Petrol,Manual,18.9,998,67.1,5,Lower Range,1.9
Mercedes-Benz E-Class E250 CDI Elegance,1690000,76.66-95.52,2013,Dealer,68000,First Owner,Diesel,Automatic,14.21,2143,203,5,Higher Range,16.9
Mahindra Jeep CJ 340,325000,null,2000,Dealer,34000,First Owner,Diesel,Manual,null,2112,null,6,Lower Range,3.25
Renault KWID Climber 1.0 AMT,395000,null,2018,Dealer,36000,First Owner,Petrol,Automatic,24.04,999,67,5,Lower Range,3.95
Maruti Celerio ZXI Optional AMT BSIV,485000,5.25-6.60,2017,Dealer,15500,First Owner,Petrol,Automatic,23.1,998,67.04,5,Medium Range,4.85
Mercedes-Benz E-Class Exclusive E 220 d BSIV,5275000,null,2019,Dealer,11000,First Owner,Diesel,Automatic,16.1,1950,191.7,5,Expensive,52.75
Skoda Superb 3.6 FXI 4X4,499000,36.39-39.36,2009,Dealer,68387,First Owner,Petrol,Automatic,12,3597,260,5,Medium Range,4.99
Maruti Ertiga VDI,589000,null,2012,Dealer,73000,First Owner,Diesel,Manual,20.77,1248,88.76,7,Medium Range,5.89
Toyota Etios Liva G,325000,null,2013,Dealer,60000,First Owner,Petrol,Manual,17.71,1197,78.9,5,Lower Range,3.25
Audi A6 2.0 TDI,1650000,null,2013,Dealer,56787,First Owner,Diesel,Automatic,17.68,1968,174.33,5,Higher Range,16.5
Toyota Innova Crysta 2016-2020 2.4 G MT BSIV,1400000,20.35-30.29,2016,Dealer,119000,First Owner,Diesel,Manual,13.68,2393,147.8,7,Higher Range,14
Volkswagen Polo GTI,875000,null,2018,Dealer,18523,First Owner,Petrol,Automatic,17.21,1798,189,4,Higher Range,8.75
Chevrolet Cruze LTZ AT,550000,null,2013,Dealer,36000,First Owner,Diesel,Automatic,14.39,1998,163.7,5,Medium Range,5.5
BMW X3 xDrive 20d Luxury Line,6100000,75.03,2019,Dealer,8620,First Owner,Diesel,Automatic,18.56,1995,187.7,5,Expensive,61
Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,979000,10.24-13.71,2019,Individual,67000,First Owner,Diesel,Manual,23,1498,98.96,5,Higher Range,9.79
Nissan Sunny XL,365000,null,2012,Dealer,70547,First Owner,Petrol,Manual,16.95,1498,97.7,5,Lower Range,3.65
Maruti Wagon R LXI CNG,450000,6.21-6.29,2015,Individual,50000,First Owner,CNG,Manual,26.6,998,58.16,5,Medium Range,4.5
Toyota Corolla H7,210000,null,2007,Dealer,80000,First Owner,Petrol,Automatic,13.4,1794,125,5,Lower Range,2.1
Hyundai Grand i10 Sportz Plus,540000,7.05-7.41,2016,Dealer,40125,First Owner,Petrol,Manual,18.9,1197,82,5,Medium Range,5.4
Hyundai i20 Asta,275000,null,2009,Dealer,57000,First Owner,Petrol,Manual,17,1197,80,5,Lower Range,2.75
Hyundai Grand i10 1.2 Kappa Sportz BSIV,575000,7.06-7.42,2019,Individual,15000,First Owner,Petrol,Manual,18.9,1197,81.86,5,Medium Range,5.75
Ford Ecosport 2015-2021 1.0 Ecoboost Platinum Edition BSIV,650000,null,2015,Dealer,39720,First Owner,Petrol,Manual,18.88,999,123.24,5,Medium Range,6.5
Ford Ecosport 2015-2021 1.5 Diesel Ambiente BSIV,700000,9.98-13.48,2017,Individual,26000,First Owner,Diesel,Manual,23,1498,98.96,5,Medium Range,7
Skoda Octavia Elegance 2.0 TDI AT,1200000,null,2014,Dealer,79000,First Owner,Diesel,Automatic,19.3,1968,141,5,Higher Range,12
Maruti Vitara Brezza ZDi Plus AMT,1020000,null,2018,Dealer,15734,First Owner,Diesel,Automatic,24.3,1248,88.5,5,Higher Range,10.2
Hyundai Xcent 1.2 Kappa S,465000,null,2016,Individual,50000,First Owner,Petrol,Manual,19.1,1197,82,5,Medium Range,4.65
Hyundai Xcent 1.1 CRDi SX Option,451000,null,2014,Individual,60000,First Owner,Diesel,Manual,24.4,1120,71,5,Medium Range,4.51
Maruti Wagon R LXI,175000,5.51-7.33,2008,Dealer,55000,First Owner,Petrol,Manual,21.79,998,67.05,5,Lower Range,1.75
Mahindra Ssangyong Rexton RX7,750000,null,2013,Dealer,89000,First Owner,Diesel,Automatic,11.18,2696,184,7,Medium Range,7.5
Maruti Vitara Brezza LDi,760000,null,2018,Individual,30000,First Owner,Diesel,Manual,24.3,1248,88.5,5,Medium Range,7.6
Maruti 800 Std,80000,null,1999,Individual,23000,First Owner,Petrol,Manual,16.1,796,37,4,Lower Range,0.8
Audi Q3 35 TDI Quattro Premium,2200000,null,2016,Individual,75000,First Owner,Diesel,Automatic,15.73,1968,174.33,5,Higher Range,22
Mercedes-Benz E-Class E200 Edition E,4150000,74.17-1.72 ,2017,Dealer,26000,First Owner,Petrol,Automatic,12,1991,184,5,Higher Range,41.5
Maruti Wagon R LXI BSII,110000,5.51-7.33,2005,Dealer,138008,First Owner,Petrol,Manual,18.9,998,67.1,5,Lower Range,1.1
Mercedes-Benz GL-Class 220d Celebration Edition,3850000,75.78,2016,Dealer,32000,First Owner,Diesel,Automatic,17.9,2143,168,5,Higher Range,38.5
Honda Amaze E i-VTEC,575000,7.24-10.24,2018,Dealer,41612,First Owner,Petrol,Manual,17.8,1198,86.7,5,Medium Range,5.75
Chevrolet Beat Diesel LS,180000,null,2013,Individual,50000,First Owner,Diesel,Manual,25.44,936,57.6,5,Lower Range,1.8
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,1120000,null,2014,Dealer,69000,First Owner,Diesel,Manual,12.8,2494,102,8,Higher Range,11.2
Hyundai Santro DX,120000,5.31-7.20,2007,Individual,50000,First Owner,Petrol,Manual,null,999,null,5,Lower Range,1.2
Chevrolet Beat LS,130000,null,2010,Individual,20000,First Owner,Petrol,Manual,18.6,1199,79.4,5,Lower Range,1.3
Hyundai i20 1.4 Asta AT with AVN,325000,7.91-13.24,2011,Dealer,89000,First Owner,Petrol,Automatic,15,1396,100,5,Lower Range,3.25
Mahindra XUV500 W8 2WD,600000,15.85-23.37,2012,Individual,200000,First Owner,Diesel,Manual,15.1,2179,140,7,Medium Range,6
Maruti Celerio VXI AT,445000,5.36-6.72,2016,Dealer,16000,First Owner,Petrol,Automatic,23.1,998,67.04,5,Medium Range,4.45
Maruti Ertiga VXI CNG,820000,10.23,2017,Individual,30900,First Owner,CNG,Manual,17.5,1373,80.46,7,Medium Range,8.2
Ford Fiesta Classic 1.4 Duratorq LXI,235000,null,2012,Dealer,90000,First Owner,Diesel,Manual,18.6,1388,67,5,Lower Range,2.35
Hyundai Verna SX CRDi AT,495000,12.85-18.11,2012,Dealer,71452,First Owner,Diesel,Automatic,19.08,1582,126.32,5,Medium Range,4.95
Ford Figo 1.5D Titanium MT,550000,9.02-9.69,2015,Dealer,52000,First Owner,Diesel,Manual,25.83,1498,99,5,Medium Range,5.5
Toyota Fortuner 3.0 Diesel,1085000,39.12-45.22,2010,Dealer,64000,First Owner,Diesel,Manual,11.5,2982,171,7,Higher Range,10.85
Mahindra XUV500 W8 2WD,950000,null,2015,Dealer,135884,First Owner,Diesel,Manual,16,2179,140,7,Higher Range,9.5
Honda BRV i-VTEC V CVT,1050000,null,2017,Individual,12500,First Owner,Petrol,Automatic,15.4,1497,117.3,7,Higher Range,10.5
Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,800000,10.25-13.72,2015,Individual,60000,First Owner,Diesel,Manual,22.77,1498,98.59,5,Medium Range,8
Honda City i DTec V,850000,14.65-17.39,2016,Individual,100000,First Owner,Diesel,Manual,26,1498,98.6,5,Higher Range,8.5
Renault KWID RXT,299000,4.12-6.65,2016,Individual,35000,First Owner,Petrol,Manual,25.17,799,53.3,5,Lower Range,2.99
Maruti Swift ZDI BSIV,600000,null,2015,Individual,107000,First Owner,Diesel,Manual,25.2,1248,74,5,Medium Range,6
Volkswagen Polo 1.5 TDI Highline,450000,null,2014,Dealer,68000,First Owner,Diesel,Manual,20.14,1498,88.8,5,Medium Range,4.5
Tata Tiago 2019-2020 XM,310000,5.96-8.27,2018,Dealer,14902,First Owner,Petrol,Manual,23.84,1199,83.83,5,Lower Range,3.1
BMW 7 Series 730Ld DPE,6400000,1.67,2016,Dealer,37000,First Owner,Diesel,Automatic,17.66,2993,261.49,4,Expensive,64
Renault Duster 85PS Diesel RxL,580000,null,2015,Dealer,80342,First Owner,Diesel,Manual,20.45,1461,83.8,5,Medium Range,5.8
Toyota Fortuner 4x4 MT,990000,39.12-45.22,2011,Dealer,79431,First Owner,Diesel,Manual,12.55,2982,168.5,7,Higher Range,9.9
Maruti Swift Dzire VXi,470000,6.92-10.32,2013,Individual,21000,First Owner,Petrol,Manual,17.5,1298,85.8,5,Medium Range,4.7
Renault Duster 85PS Diesel RxL,475000,null,2013,Dealer,53000,First Owner,Diesel,Manual,19.87,1461,83.8,5,Medium Range,4.75
Nissan Terrano XV 110 PS,649000,null,2015,Dealer,40000,First Owner,Diesel,Manual,19.01,1461,108.5,5,Medium Range,6.49
Maruti Wagon R Stingray VXI Optional,500000,null,2017,Dealer,17745,First Owner,Petrol,Manual,20.51,998,67.04,5,Medium Range,5
Honda Amaze E i-DTEC,390000,8.84-11.46,2013,Dealer,54642,First Owner,Diesel,Manual,25.8,1498,98.6,5,Lower Range,3.9
Hyundai i10 Sportz 1.2 AT,290000,7.06-7.42,2010,Dealer,77739,First Owner,Petrol,Automatic,16.95,1197,78.9,5,Lower Range,2.9
Maruti Celerio ZXI AT,450000,null,2016,Dealer,36000,First Owner,Petrol,Automatic,23.1,998,67.04,5,Medium Range,4.5
Hyundai Grand i10 1.2 Kappa Sportz AT,596000,7.06-7.42,2018,Dealer,31025,First Owner,Petrol,Automatic,18.9,1197,81.86,5,Medium Range,5.96
Maruti Vitara Brezza LDi,650000,null,2016,Individual,83000,First Owner,Diesel,Manual,24.3,1248,88.5,5,Medium Range,6.5
Hyundai EON D Lite,275000,null,2015,Individual,10000,First Owner,Petrol,Manual,21.1,814,55.2,5,Lower Range,2.75
Maruti Ignis 1.2 Delta BSIV,490000,null,2017,Dealer,26000,First Owner,Petrol,Manual,20.89,1197,81.8,5,Medium Range,4.9
Volkswagen Vento 1.6 Highline,875000,10.61-16.31,2019,Dealer,4200,First Owner,Petrol,Manual,15.04,1598,103.2,5,Higher Range,8.75
Toyota Innova 2.5 VX (Diesel) 8 Seater,950000,null,2013,Dealer,74000,First Owner,Diesel,Manual,12.99,2494,100.6,8,Higher Range,9.5
Skoda Rapid 1.5 TDI AT Style Plus,775000,null,2016,Dealer,56789,First Owner,Diesel,Automatic,21.66,1498,103.52,5,Medium Range,7.75
